ato_bad|unit_weight|radd_timezone_3_2|radd_max_pmt_s_3|SNR1wRtDolDclTxn|max_cross20wRtDclAcc|login_VIDMatch|seg|dollar_weight|ip_asp_spoof_txns|vid_asp_spoof_txns|Intercept|time_window|wSNR1wRtDolDclTxn_s1|wip_asp_spoof_txns_s1|wlogin_VIDMatch_s1|wmax_cross20wRtDclAcc_s1|wradd_max_pmt_s_3_s1|wradd_timezone_3_2_s1|wvid_asp_spoof_txns_s1|new_score|align_new_score|wSNR1wRtDolDclTxn_s2|wip_asp_spoof_txns_s2|wlogin_VIDMatch_s2|wmax_cross20wRtDclAcc_s2|wradd_max_pmt_s_3_s2|wradd_timezone_3_2_s2
0|2||679.85|0|0.161|1|1|1292|0|0|1|DEV|-0.105449|-0.119505|-0.134574|0.316717|-0.203081|-0.199666|-0.090233|8.773611548|339||||||
0|25||160.35|0.0655|0.0366|1|1|75|0|0|1|DEV|0.089438|-0.119505|-0.134574|-0.038997|0.043156|-0.199666|-0.090233|8.6480082341|347||||||
0|800||579.76|0.0655|0.0297|1|1|137600|0|0|1|DEV|0.089438|-0.119505|-0.134574|-0.176481|-0.203081|-0.199666|-0.090233|9.0157726771|325||||||
0|200||575.00|0.0655|0.0542|0|2|4600|0|0|1|DEV|0.089438|-0.119505|0.209014|-0.038997|-0.203081|-0.199666|-0.090233|8.5890276461|350||||||
1|1|-400||0.0655|0.0366|2|2|80|0|0|1|DEV|0.089438|-0.119505|1.153454|-0.038997|0.85329|0.355722|-0.090233|6.1123723533|493||||||
0|400||85.20|0|0.0366|0|2|17200|0|0|1|DEV|-0.105449|-0.119505|0.209014|-0.038997|0.043156|-0.199666|-0.090233|8.4543950283|358||||||
0|2|||0.0655|0.1875|2|2|1000|0|0|1|DEV|0.089438|-0.119505|1.153454|0.316717|0.85329|-0.199666|-0.090233|6.2995001439|482||||||
1|1|200|69.99|0.0655|0.0366|0|2|22|0|0|1|DEV|0.089438|-0.119505|0.209014|-0.038997|0.043156|0.806779|-0.090233|7.4999838641|413||||||
0|10|300|92.80|0|0.375|1|1|90|0|0|1|DEV|-0.105449|-0.119505|-0.134574|0.316717|0.043156|0.806779|-0.090233|7.684567766|402||||||
0|25||123.89|0.3077|0.2|1|1|75|0|0|1|DEV|0.798008|-0.119505|-0.134574|0.316717|0.043156|-0.199666|-0.090233|7.9090218473|389||||||
